A=5691 B=8189 C=7839 X=653846547 Y=9339892237 Z=20771898220 M=5843
A=8541 B=5886 C=6933 X=480544296 Y=3970553190 Z=21372552510 M=6995
A=3100 B=9422 C=6984 X=549676026 Y=1089878452 Z=19638350965 M=5515
A=8442 B=6181 C=7169 X=520175355 Y=9101690637 Z=55869051372 M=1949
A=7152 B=9482 C=9960 X=654311994 Y=1738978778 Z=19034903836 M=8375
A=9151 B=9311 C=9649 X=694793425 Y=5029637103 Z=46988664376 M=8959
A=8473 B=6137 C=8593 X=742263267 Y=7086060216 Z=64190696022 M=1744
A=2431 B=6404 C=9587 X=738647585 Y=2176056278 Z=77065549317 M=2441
A=8681 B=7528 C=5004 X=353048798 Y=7510089234 Z=29350762807 M=2144
A=4837 B=9892 C=8520 X=573458294 Y=2640690326 Z=21220915268 M=6641
A=5622 B=6689 C=6550 X=535531383 Y=2932710117 Z=46275823969 M=4567
A=7062 B=9501 C=5853 X=765088487 Y=2070505353 Z=52379391680 M=1081
A=8194 B=3571 C=8971 X=101089528 Y=7613901312 Z=13761048716 M=7672
A=5393 B=9643 C=6931 X=172334973 Y=3707568983 Z=50039974439 M=4665
A=9368 B=9599 C=6004 X=170500782 Y=9432747330 Z=65497559237 M=6708
A=9828 B=7429 C=6378 X=244544708 Y=3854239308 Z=97617821771 M=6068
A=8738 B=9785 C=8172 X=533776726 Y=7324383862 Z=27876554311 M=5654
A=6381 B=4093 C=5171 X=918705110 Y=5868521651 Z=58032312022 M=7170
A=4362 B=3567 C=7084 X=335283486 Y=2199299857 Z=18446983611 M=9031
A=8732 B=6617 C=7280 X=129259480 Y=2097515951 Z=40684470831 M=3656
A=3174 B=4461 C=5845 X=149312961 Y=3870875350 Z=84205514533 M=2851
A=5417 B=7487 C=5410 X=163093632 Y=6717233492 Z=98610670004 M=8210
A=8901 B=4087 C=9287 X=979978417 Y=9421873322 Z=59578279080 M=6654
A=6985 B=7943 C=6670 X=922237796 Y=1643271409 Z=67190112424 M=7838
A=2279 B=6690 C=9231 X=324429034 Y=7933263535 Z=62884735659 M=3647
A=8549 B=8894 C=7655 X=893568029 Y=9857697857 Z=22663178122 M=5598
A=5736 B=6995 C=5022 X=167356751 Y=9385299251 Z=38985918246 M=7487
A=7833 B=9968 C=6504 X=489167849 Y=9469251059 Z=53551680460 M=5298
A=8164 B=8966 C=5178 X=156014385 Y=1273522884 Z=76399322077 M=8738
A=8022 B=4933 C=8803 X=942551021 Y=1796103724 Z=76024261899 M=4095
A=7939 B=7816 C=6225 X=467735726 Y=7144212339 Z=83784766433 M=5078
A=5902 B=4755 C=9687 X=174257252 Y=2995552638 Z=69260607527 M=8565
A=9286 B=5566 C=7843 X=535439583 Y=3445844002 Z=45335330915 M=4167
A=8447 B=9855 C=5844 X=994043759 Y=4005393532 Z=93803265719 M=2358
A=3720 B=9635 C=8743 X=928755151 Y=7391183578 Z=85582300694 M=3617
A=2294 B=6809 C=8860 X=892765485 Y=9759720852 Z=33093032282 M=4096
A=2782 B=4824 C=9779 X=308436237 Y=8644249952 Z=56760914180 M=4268
A=4702 B=9904 C=5515 X=449284003 Y=9711054543 Z=27674475613 M=3164
A=7477 B=7726 C=6081 X=366867467 Y=1668584633 Z=62633587758 M=7315
A=9605 B=8596 C=5949 X=838700800 Y=4063086717 Z=94526800207 M=5375
A=2775 B=6138 C=7744 X=667827193 Y=1694607460 Z=65226145434 M=3448
A=2352 B=5225 C=5136 X=860495624 Y=7250772158 Z=72359278702 M=2701
A=6232 B=3909 C=7601 X=231966693 Y=3344121732 Z=63808843503 M=9499
A=4446 B=9786 C=6214 X=320093435 Y=3572940528 Z=88215774360 M=7955
A=4467 B=6051 C=5937 X=491729061 Y=7851143925 Z=62771915755 M=8205
A=8440 B=6995 C=9739 X=604812736 Y=2860424975 Z=70189398844 M=3536
A=6432 B=8945 C=9604 X=976402121 Y=5858680952 Z=89624352124 M=5316
A=5205 B=5309 C=9963 X=664969740 Y=7537673170 Z=58034854233 M=1727
A=4106 B=8245 C=8655 X=474315593 Y=1033939075 Z=62203576159 M=5897
A=5498 B=7898 C=5951 X=165634593 Y=2152431547 Z=38713214381 M=3594
A=9522 B=5240 C=8175 X=540135463 Y=5754198834 Z=61475978351 M=8926
A=5560 B=3618 C=9824 X=956509684 Y=7718253363 Z=63530744960 M=2856
A=9050 B=9390 C=7017 X=989899139 Y=8675087995 Z=63487117355 M=9685
A=8732 B=5075 C=8809 X=264256292 Y=9363328624 Z=61635727593 M=8749
A=2876 B=4607 C=9752 X=264632887 Y=8344677744 Z=88561069631 M=7864
A=5824 B=7730 C=9203 X=936988804 Y=9305446767 Z=25715948629 M=8477
A=2620 B=6023 C=9000 X=564300277 Y=1524543958 Z=74324255306 M=2319
A=5103 B=5454 C=5989 X=293902065 Y=3239506000 Z=84857679191 M=6383
A=6292 B=4241 C=6469 X=304325120 Y=5197601509 Z=53850246404 M=6633
A=8802 B=7536 C=5733 X=762726859 Y=6379227485 Z=10174205745 M=8777
A=9738 B=3407 C=9031 X=609473477 Y=7662303015 Z=95464055664 M=1477
A=2860 B=3131 C=6577 X=470390687 Y=7271786710 Z=41579709172 M=1421
A=8477 B=7868 C=5175 X=258254833 Y=5454774709 Z=24558299239 M=8764
A=7449 B=9850 C=9586 X=339750311 Y=3900863295 Z=85349382162 M=5301
A=4913 B=7385 C=9369 X=843024388 Y=2513883984 Z=64717747986 M=9882
A=8211 B=3491 C=7985 X=249507747 Y=1665099256 Z=35054056313 M=9584
A=7764 B=4228 C=6317 X=952957870 Y=5473230241 Z=30671861090 M=3012
A=4296 B=3601 C=5359 X=784489960 Y=1569524352 Z=76959754157 M=9867
A=3069 B=9649 C=8714 X=398784291 Y=2986004685 Z=30651974425 M=4627
A=2027 B=4699 C=6698 X=327880355 Y=5856203738 Z=62421970676 M=9866
A=4200 B=3100 C=8926 X=690691040 Y=4707770001 Z=30501200807 M=4901
A=6872 B=5972 C=7800 X=368087699 Y=7804100505 Z=57326583712 M=6034
A=3168 B=7268 C=6766 X=305458805 Y=8346912234 Z=90250276830 M=7090
A=2005 B=6639 C=8190 X=132736355 Y=3207539074 Z=39699193168 M=5106
A=8807 B=5897 C=9963 X=903230043 Y=1400765939 Z=96701111570 M=6077
A=7634 B=9666 C=8870 X=259919192 Y=9555774568 Z=86405741206 M=9232
A=4683 B=4137 C=6761 X=956655175 Y=9335826482 Z=17759643035 M=6800
A=2787 B=6300 C=8033 X=500030781 Y=6224907418 Z=54417287036 M=3260
A=9961 B=9823 C=8095 X=772814644 Y=3844766099 Z=61265388936 M=4516
A=8992 B=5821 C=7861 X=414067447 Y=9784497934 Z=70569368986 M=1724
A=2906 B=9992 C=6315 X=940102013 Y=4770490678 Z=28260057071 M=8313
A=6495 B=8940 C=7255 X=985734668 Y=2545675848 Z=49819294862 M=6022
A=2071 B=6074 C=9363 X=130031757 Y=4922888857 Z=83345717272 M=2380
A=2306 B=5273 C=7818 X=941657347 Y=8931041937 Z=94806386065 M=2164
A=9268 B=9718 C=6754 X=264905564 Y=5521624938 Z=39638028954 M=6492
A=9391 B=5103 C=9204 X=990258996 Y=8090869354 Z=98717734708 M=7199
A=8967 B=6445 C=9875 X=355579794 Y=6095167247 Z=94472116294 M=7547
A=7472 B=9780 C=8664 X=691226097 Y=1745434148 Z=95714507428 M=8366
A=8111 B=3438 C=8873 X=340062389 Y=8258811742 Z=10058189312 M=3948
A=6685 B=8667 C=8506 X=701231368 Y=4769414892 Z=79484071791 M=9145
A=5754 B=9143 C=9886 X=868254174 Y=4844196855 Z=62505411749 M=8791
A=3428 B=9605 C=9704 X=606114622 Y=6237971733 Z=84678725943 M=6109
A=8089 B=4275 C=5750 X=908959350 Y=8183971491 Z=64918013955 M=1649
A=2340 B=3441 C=7930 X=199213373 Y=6718635595 Z=39953191945 M=1668
A=7038 B=9661 C=9254 X=473388228 Y=3030328530 Z=31527398441 M=3585
A=7324 B=5888 C=8555 X=516128945 Y=2330991816 Z=88045717367 M=2184
A=7827 B=3520 C=7489 X=654676135 Y=4390714429 Z=45214703396 M=3771
A=5001 B=9914 C=5930 X=423615672 Y=4495299374 Z=82679068033 M=5846
A=3695 B=7339 C=5815 X=160533053 Y=3061963355 Z=20108583958 M=7416
A=7841 B=3657 C=7449 X=469409137 Y=5632215322 Z=83474582062 M=4496
A=5981 B=4397 C=7402 X=611667149 Y=7184421011 Z=24469150405 M=4243
A=2250 B=4351 C=6425 X=243042226 Y=2204295737 Z=27786471814 M=5405
A=3903 B=6197 C=9162 X=281993402 Y=6275720650 Z=43649612469 M=2130
A=6995 B=9054 C=7544 X=144187282 Y=2436188797 Z=25906544505 M=6914
A=3235 B=4304 C=7931 X=905034537 Y=4240743757 Z=12408344399 M=4226
A=2508 B=8351 C=5467 X=944196450 Y=4791989659 Z=93230886151 M=8825
A=9543 B=9871 C=7807 X=250140155 Y=8781442179 Z=80308233747 M=2071
A=6102 B=7810 C=7326 X=859239957 Y=7912268557 Z=99427934514 M=5354
A=9897 B=5154 C=9199 X=898213206 Y=7747858782 Z=34842257070 M=7807
A=7413 B=3361 C=7157 X=881565337 Y=7481540867 Z=92726127151 M=3998
A=7828 B=3876 C=5644 X=847050836 Y=7818072879 Z=44091155676 M=5125
A=2104 B=3806 C=9831 X=501877879 Y=2253498008 Z=40568737144 M=9187
A=3995 B=6654 C=9766 X=834923722 Y=9872484256 Z=39473757676 M=8724
A=9905 B=8604 C=7886 X=692404814 Y=4078484415 Z=84862906944 M=3338
A=9683 B=7875 C=5418 X=926501794 Y=4995582576 Z=96073029213 M=7305
A=2926 B=7091 C=7570 X=139053191 Y=9071777995 Z=59869898288 M=4328
A=4339 B=3429 C=9820 X=618439158 Y=3555575935 Z=63885543313 M=1703
A=7977 B=4599 C=9744 X=856332840 Y=3387124961 Z=66336978574 M=2450
A=8602 B=5917 C=5802 X=310658050 Y=8474674098 Z=85539949090 M=1632
A=9348 B=3948 C=6526 X=333530072 Y=1157012866 Z=81488533776 M=5216
A=4104 B=8281 C=5898 X=295485336 Y=3710367586 Z=95996417418 M=6416
A=8856 B=9194 C=7103 X=449466154 Y=9381556203 Z=82945879614 M=4362
A=2756 B=9261 C=8053 X=186948225 Y=6217621081 Z=46211565949 M=9135
A=5859 B=7325 C=9666 X=422539824 Y=5588101887 Z=28730950446 M=4055
A=8302 B=8328 C=9190 X=302373076 Y=9689882289 Z=68178876651 M=2236
A=6011 B=4312 C=8623 X=589721904 Y=3326106209 Z=92037231444 M=7025
A=5608 B=4814 C=5981 X=849767417 Y=9868396045 Z=23874623429 M=8082
A=9424 B=4493 C=6840 X=804774978 Y=5522533084 Z=19661786287 M=1712
A=8468 B=9897 C=5361 X=512056716 Y=7282329879 Z=60992412052 M=8422
A=5655 B=5213 C=9829 X=874523194 Y=8678024375 Z=29616756279 M=5023
A=9388 B=8342 C=8902 X=529407783 Y=7709240850 Z=48220067568 M=9533
A=9791 B=3587 C=6830 X=639706595 Y=7900662706 Z=98673844018 M=1504
A=7201 B=5672 C=9509 X=439483783 Y=1690972003 Z=99892784594 M=5537
A=9525 B=8922 C=7656 X=282331089 Y=7237829375 Z=40678904234 M=7545
A=7946 B=8761 C=9912 X=819574625 Y=8997129010 Z=68624693236 M=4442
A=3148 B=7724 C=7320 X=760914092 Y=6887394686 Z=51900066969 M=4282
A=8308 B=8197 C=5956 X=373409937 Y=6264660654 Z=42107936260 M=1861
A=6450 B=5415 C=9703 X=867810554 Y=9530143594 Z=78353088933 M=4235
A=5588 B=3792 C=8357 X=925741521 Y=8014346351 Z=81995621721 M=8613
A=8580 B=5363 C=8940 X=306749852 Y=3780771346 Z=27195658735 M=6502
A=3884 B=4275 C=8207 X=134407012 Y=5270731748 Z=98857006981 M=7486
A=3455 B=8734 C=7795 X=676303086 Y=6354471673 Z=52993306309 M=2467
A=3814 B=9651 C=6205 X=567687933 Y=7982376283 Z=99038128519 M=1552
A=3712 B=3766 C=9507 X=924559468 Y=7161521060 Z=41031454361 M=4096
A=4413 B=6872 C=7757 X=412187173 Y=4464552919 Z=96251406901 M=6435
A=7860 B=3493 C=5338 X=870711919 Y=2442160245 Z=51102256654 M=1731
A=7073 B=9162 C=5625 X=367803103 Y=9632393124 Z=90787473654 M=4855
A=2933 B=9762 C=9818 X=334134775 Y=2247956987 Z=88543859269 M=8532
A=8041 B=6126 C=8605 X=654084038 Y=5144816347 Z=73080366481 M=2276
A=9127 B=6492 C=7277 X=885847891 Y=3209150856 Z=54375689161 M=1739
A=5389 B=5068 C=8362 X=523360663 Y=5058367699 Z=87308203540 M=7735
A=3104 B=8959 C=6080 X=404060260 Y=2840175447 Z=86499479341 M=8042
A=5106 B=6362 C=7848 X=599403397 Y=5292012062 Z=29909774538 M=6415
A=4372 B=5553 C=7763 X=407011278 Y=8481171011 Z=35983125236 M=3368
A=3870 B=6528 C=5031 X=298861854 Y=8499142813 Z=11580540287 M=3982
A=8977 B=7570 C=7853 X=795694611 Y=3890283923 Z=66195054765 M=2697
A=8773 B=8915 C=6801 X=238415262 Y=3931309430 Z=74308080674 M=5539
A=8194 B=4212 C=7268 X=449699389 Y=1718060285 Z=67344490297 M=7756
A=9972 B=7370 C=5836 X=464160663 Y=2357974161 Z=42311551553 M=4367
A=2997 B=5256 C=5397 X=120429271 Y=2207867564 Z=64680681821 M=3999
A=3770 B=7752 C=6572 X=407058948 Y=5677789623 Z=91484249127 M=9719
A=6534 B=3105 C=5919 X=940194908 Y=3605947336 Z=76333511006 M=4422
A=6182 B=8515 C=5724 X=486623340 Y=8419301221 Z=81822537238 M=8788
A=7298 B=7078 C=8797 X=418466046 Y=4946459110 Z=87610733575 M=7060
A=2464 B=5703 C=9912 X=342462262 Y=2935164902 Z=76399873508 M=5964
A=7946 B=7949 C=7682 X=969405099 Y=7060428050 Z=90450728441 M=9024
A=8074 B=3478 C=9755 X=306647581 Y=6286091453 Z=82793168448 M=4042
A=5072 B=8675 C=9278 X=647900518 Y=4677224225 Z=21730724160 M=4424
A=9471 B=3997 C=7908 X=781935740 Y=8033405381 Z=32064449646 M=5053
A=6730 B=5924 C=7301 X=317190208 Y=3360960597 Z=88439600963 M=2861
A=4349 B=9473 C=7080 X=239047813 Y=9558847598 Z=92508683101 M=3146
A=6871 B=7344 C=8144 X=199702744 Y=7029467886 Z=67593400440 M=1645
A=7576 B=5905 C=5046 X=451344175 Y=1047184227 Z=76040780221 M=1302
A=4772 B=4838 C=9337 X=584002487 Y=5536946765 Z=39697510900 M=8525
A=9421 B=6958 C=7141 X=162178137 Y=8652061461 Z=10048205371 M=4251
A=6732 B=6511 C=7280 X=471690551 Y=1683299616 Z=72800816099 M=3983
A=5334 B=9272 C=7526 X=265622651 Y=2380797925 Z=76340102333 M=6799
A=5253 B=9775 C=8467 X=253055078 Y=6905926652 Z=94113907491 M=5447
A=4319 B=9591 C=6301 X=774532782 Y=6421811638 Z=36147316523 M=4907
A=3091 B=5882 C=6604 X=939891301 Y=2608988822 Z=37442936157 M=9984
A=9474 B=5356 C=5764 X=139299618 Y=4820203246 Z=11523083739 M=4199
A=2072 B=9015 C=6836 X=886015374 Y=9539973893 Z=57765894917 M=2669
A=7324 B=7537 C=7552 X=964404482 Y=6974398687 Z=69789149857 M=6341
A=3079 B=8957 C=7415 X=944575011 Y=7818818827 Z=27875216843 M=2032
A=8857 B=5272 C=9014 X=781159462 Y=9486131305 Z=14231529549 M=2491
A=6006 B=4462 C=8869 X=999249347 Y=4846222017 Z=25210890490 M=1040
A=7894 B=7148 C=7433 X=605455871 Y=7712488240 Z=70094192504 M=9257
A=4016 B=5937 C=8428 X=719930942 Y=4790617734 Z=43132857620 M=9208
A=5888 B=3393 C=6605 X=636290086 Y=7149843190 Z=64537910367 M=4266
A=8116 B=8390 C=7404 X=489854229 Y=8628923633 Z=30770870007 M=7778
A=3338 B=3431 C=5270 X=155384667 Y=2176548257 Z=64193159047 M=4188
A=7305 B=6694 C=6261 X=824236693 Y=2716255470 Z=27821673369 M=6896
A=9670 B=4719 C=8639 X=329591904 Y=8627859777 Z=21119642433 M=2155
A=3205 B=3100 C=5744 X=854247276 Y=7292838865 Z=88610867886 M=6929
A=3055 B=7194 C=8337 X=907905561 Y=5547551597 Z=99387720867 M=9181
A=8846 B=9552 C=5318 X=284393351 Y=1837224598 Z=14801973083 M=3420
A=4298 B=9592 C=8869 X=173052946 Y=9521200555 Z=56530983195 M=4151
A=8684 B=6952 C=5485 X=859487057 Y=8456695623 Z=76118872598 M=8326
A=4885 B=8852 C=6768 X=555556773 Y=3779746583 Z=49107973567 M=2584
A=6039 B=7174 C=7998 X=253350932 Y=9720321303 Z=19221999460 M=1966
A=6129 B=7163 C=7671 X=165728715 Y=1579859225 Z=57607666946 M=9443
A=8771 B=8770 C=8189 X=324911768 Y=9920284038 Z=91868384475 M=9480
A=2566 B=8714 C=9821 X=505306370 Y=9185931495 Z=48301752619 M=5205
A=2640 B=8500 C=6566 X=612760228 Y=2140359564 Z=98093421533 M=7623
A=3686 B=8643 C=8827 X=863354326 Y=3061320210 Z=81253792325 M=1217
A=5143 B=5302 C=8592 X=863605131 Y=5411153626 Z=37316290644 M=8579
A=2925 B=6739 C=9087 X=357755352 Y=4728275416 Z=49921558900 M=5776
A=3641 B=5138 C=9971 X=174710553 Y=4788675583 Z=45157679815 M=7391
A=2343 B=3113 C=9693 X=583290711 Y=5066329341 Z=49689286976 M=8480
A=9940 B=3236 C=9439 X=742340006 Y=8999976672 Z=31065646776 M=2014
A=6193 B=8678 C=6541 X=752799913 Y=2297926805 Z=44488492527 M=9750
A=7506 B=9971 C=8611 X=698385104 Y=6981184709 Z=68983071912 M=5741
A=8197 B=6835 C=5541 X=795140334 Y=5194702750 Z=32220169208 M=9044
A=9267 B=4333 C=7906 X=137527826 Y=3005094410 Z=52431261399 M=1013
A=7979 B=5441 C=5637 X=528435158 Y=2421305765 Z=96434447040 M=3365
A=9175 B=3117 C=9537 X=523484380 Y=2855819532 Z=10516625548 M=4764
A=5884 B=8289 C=5405 X=796681662 Y=7011002251 Z=50439057764 M=4151
A=3325 B=8743 C=5892 X=668021809 Y=8786665802 Z=70062144231 M=7962
A=6047 B=6756 C=8593 X=481446929 Y=7975144010 Z=76096501156 M=2648
A=5039 B=3872 C=6910 X=266453463 Y=7750549397 Z=10811872796 M=6131
A=8848 B=4709 C=6228 X=647707055 Y=1185745748 Z=66858015997 M=6408
A=5604 B=5617 C=5854 X=165862649 Y=9026982596 Z=58474156290 M=3809
A=3654 B=4187 C=8715 X=807286385 Y=6948504689 Z=17322344976 M=2961
A=7516 B=7197 C=8581 X=171212259 Y=5532157375 Z=60626976953 M=7913
A=4320 B=6842 C=7599 X=699598374 Y=1810407700 Z=46406191031 M=7393
A=9244 B=7694 C=5354 X=659382953 Y=3528784205 Z=52327464886 M=1872
A=6157 B=8985 C=5165 X=293913660 Y=4471061634 Z=62921120094 M=8078
A=8590 B=6020 C=6258 X=318163712 Y=9219270465 Z=24452890476 M=1638
A=2828 B=4106 C=8376 X=896841188 Y=2028258894 Z=26854655772 M=9460
A=3213 B=6272 C=6036 X=314040482 Y=9472710586 Z=27471743360 M=1741
A=5561 B=3285 C=5902 X=749336722 Y=8744045304 Z=93722145118 M=6318
A=8140 B=5127 C=7816 X=206655685 Y=6483330247 Z=81298674542 M=2839
A=3080 B=7601 C=5108 X=747546730 Y=7578878167 Z=19992460686 M=5460
A=6856 B=8876 C=6339 X=790081322 Y=2220453880 Z=18123759432 M=8951
A=5851 B=8854 C=9309 X=392079944 Y=8465393707 Z=32886068540 M=6732
A=3126 B=3885 C=6929 X=265053132 Y=8523637010 Z=24529634231 M=2283
A=3334 B=3349 C=8087 X=528507099 Y=3101272165 Z=55600436243 M=6694
A=8050 B=7140 C=6527 X=889536915 Y=1008393714 Z=63209926818 M=5286
A=8466 B=5640 C=8796 X=991969240 Y=9865660283 Z=97782758404 M=2879
A=2438 B=5284 C=5740 X=224185117 Y=9398058362 Z=22180085290 M=5479
A=5015 B=5539 C=7647 X=412822101 Y=4496575437 Z=66255316977 M=1843
A=8574 B=7282 C=5535 X=336103328 Y=6812747152 Z=60141665212 M=3546
A=7733 B=7660 C=9113 X=214207933 Y=3455889830 Z=79657341715 M=8948
A=8200 B=7866 C=6966 X=983690833 Y=7561418589 Z=42235884701 M=8084
A=2068 B=3105 C=9218 X=175692157 Y=5844429232 Z=45876536583 M=3030
A=4921 B=4666 C=7683 X=908584687 Y=8728070850 Z=44345023630 M=5160
A=9890 B=5697 C=7296 X=732860950 Y=9772991726 Z=10713687867 M=6561
A=2020 B=9249 C=8998 X=890269037 Y=5856641626 Z=35971012467 M=8738
A=2444 B=6932 C=7407 X=518483027 Y=5839603594 Z=40204738395 M=5803
A=4395 B=3238 C=5409 X=323627252 Y=6932280257 Z=80912362736 M=8920
A=6337 B=8684 C=7437 X=300698752 Y=7488525682 Z=65548897425 M=8126
A=8738 B=4945 C=9472 X=734457408 Y=7473198192 Z=78254849931 M=7571
A=3196 B=9995 C=8619 X=921471787 Y=8865962134 Z=70883381407 M=8908
A=7987 B=4842 C=5346 X=788786924 Y=1782402620 Z=58585725405 M=1253
A=6401 B=6793 C=7707 X=454245057 Y=6284879853 Z=58040875455 M=5723
A=8361 B=6458 C=6297 X=915701289 Y=7393886906 Z=49114494096 M=5974
A=5396 B=8819 C=6375 X=521583264 Y=8963021634 Z=46032243121 M=4463
A=8197 B=8342 C=7661 X=712553768 Y=2167446447 Z=10101391758 M=2273
A=9481 B=3675 C=8716 X=379822619 Y=6092580631 Z=14401010860 M=6469
A=3863 B=5471 C=5512 X=931688470 Y=6056275169 Z=85262776878 M=9997
A=5483 B=7830 C=9167 X=676997486 Y=3590262418 Z=47133872090 M=1009
A=3689 B=7870 C=8143 X=228085903 Y=2876747547 Z=74591227400 M=4022
A=9669 B=6156 C=6486 X=801747382 Y=7362223286 Z=41415815776 M=9898
A=5718 B=6767 C=5361 X=112506156 Y=9145635578 Z=60316451143 M=4485
A=3482 B=8044 C=5762 X=526399728 Y=1671594941 Z=72910536378 M=3643
A=4212 B=3968 C=5377 X=420056726 Y=3512165345 Z=68739037615 M=7489
A=2757 B=5009 C=8315 X=270746499 Y=9490643653 Z=59204953668 M=2027
A=4913 B=8702 C=9366 X=944712466 Y=4275245716 Z=47349238349 M=5010
A=2662 B=4070 C=7512 X=737777123 Y=8096862023 Z=71367094598 M=3602
A=3592 B=3115 C=8697 X=195412182 Y=3790071838 Z=61274019235 M=3953
A=5099 B=8067 C=9208 X=485969474 Y=6936155784 Z=11902965625 M=7408
A=8750 B=4527 C=5988 X=690036126 Y=7813595684 Z=93629912924 M=3636
A=9009 B=3709 C=8903 X=184524418 Y=8745156785 Z=79133518187 M=8396
A=2097 B=5168 C=5312 X=805315856 Y=7347720742 Z=48091143956 M=3657
A=6952 B=4793 C=7111 X=939185034 Y=9479172111 Z=47114510121 M=8035
A=4960 B=6754 C=8017 X=227319136 Y=3429682256 Z=87002841139 M=6455
A=4072 B=7468 C=9183 X=873763992 Y=2446910765 Z=78013092045 M=2928
A=9158 B=9183 C=9306 X=545045065 Y=3631000176 Z=22179651662 M=6837
A=8156 B=9817 C=8727 X=833807899 Y=1549760582 Z=95892615057 M=7947
A=8817 B=9196 C=5414 X=877029554 Y=1542506465 Z=88193638073 M=2244
A=7290 B=7145 C=7737 X=200808244 Y=7677028378 Z=81331317775 M=6305
A=2525 B=5890 C=6148 X=276885746 Y=4445426846 Z=59855217143 M=4067
A=2400 B=6637 C=9901 X=819620290 Y=5074304551 Z=36489218580 M=4554
A=3851 B=3428 C=6464 X=818375752 Y=5863200900 Z=13540749898 M=3851
A=9650 B=7384 C=9872 X=349078023 Y=6814789077 Z=18080652866 M=1997
A=6001 B=8416 C=7891 X=729361082 Y=9317086881 Z=27071681458 M=6063
A=7530 B=4450 C=7934 X=246989474 Y=1199958209 Z=29430091264 M=6899
A=3591 B=4350 C=7507 X=374139231 Y=2802439901 Z=65603973958 M=1271
A=2539 B=8388 C=9619 X=905816970 Y=4498380905 Z=29469657706 M=2401
A=6124 B=7926 C=5462 X=329567183 Y=6150893441 Z=91601494193 M=1226
A=5531 B=9877 C=9448 X=740924785 Y=3788257982 Z=78789358244 M=3667
A=6735 B=4323 C=7462 X=777765376 Y=3093419002 Z=96897239484 M=5803
A=3538 B=9223 C=6721 X=630532434 Y=3061316192 Z=84345604748 M=4860
A=3519 B=3747 C=7315 X=365764842 Y=5202577868 Z=96012467167 M=9059
A=9104 B=6331 C=5994 X=335479573 Y=7589222063 Z=39140252567 M=1431
A=2755 B=9633 C=8503 X=328129327 Y=8208907594 Z=58308487871 M=5414
A=6002 B=7009 C=9638 X=585902417 Y=4821654819 Z=66562976337 M=1449
A=8280 B=8947 C=9359 X=390101552 Y=4837680854 Z=45211706520 M=2918
A=6552 B=5533 C=7593 X=176795344 Y=6686158704 Z=65453523277 M=2814
A=2232 B=9602 C=5661 X=357398181 Y=5532485566 Z=97097294614 M=2088
A=5135 B=4075 C=6943 X=674837708 Y=7228132575 Z=76117401544 M=5690
A=7927 B=7690 C=9612 X=449672891 Y=9697829961 Z=99466077971 M=3719
A=9560 B=8392 C=5878 X=935930334 Y=3790084399 Z=95249644146 M=9758
A=5344 B=7740 C=7847 X=848463077 Y=8699196908 Z=57883913799 M=4973
A=6390 B=5921 C=5363 X=609421497 Y=9627950979 Z=93342069968 M=8782
A=2165 B=4487 C=8172 X=513141750 Y=5134915062 Z=58287499398 M=4814
A=4308 B=3035 C=8197 X=132743823 Y=9471711215 Z=17724521311 M=9159
A=2950 B=3943 C=7686 X=829722438 Y=3782591242 Z=25560312355 M=9355
A=4521 B=4872 C=5359 X=425961347 Y=7130188720 Z=76398028471 M=5875
A=2022 B=3379 C=8086 X=799969959 Y=2651737791 Z=74401617804 M=2163
A=7900 B=6217 C=8504 X=262190802 Y=4982108378 Z=28006503632 M=7894
A=7753 B=7636 C=6218 X=550379626 Y=9025244996 Z=65342518059 M=3780
A=7422 B=7331 C=5688 X=403747362 Y=7092598436 Z=27651301948 M=9479
A=6211 B=7831 C=7050 X=631733783 Y=1026638649 Z=30892061267 M=6992
A=7307 B=7085 C=7248 X=583533194 Y=4569796072 Z=91470625658 M=3247
A=3984 B=6800 C=9278 X=934645827 Y=6193737361 Z=58624728617 M=9272
A=3437 B=7415 C=9047 X=451374983 Y=4684002205 Z=11244681664 M=3242
A=3624 B=7033 C=5926 X=254277198 Y=1853521686 Z=81326007637 M=1427
A=2557 B=8940 C=5358 X=850041403 Y=7989046601 Z=75440735898 M=4246
A=8212 B=7594 C=9501 X=618461543 Y=7575204812 Z=37693206642 M=5612
A=4799 B=8717 C=8546 X=627709201 Y=6916897329 Z=87008675964 M=8014
A=7659 B=6749 C=8875 X=258622032 Y=3001912066 Z=21766501905 M=4895
A=8686 B=6816 C=7631 X=523040180 Y=1017941823 Z=32690688924 M=5726
A=5121 B=5526 C=8272 X=828014091 Y=7040866189 Z=33302303179 M=7329
A=7271 B=7197 C=8759 X=374825385 Y=7405606113 Z=75912706029 M=3162
A=8879 B=7596 C=7596 X=977828103 Y=6486988280 Z=85014564613 M=9888
A=6518 B=3022 C=5760 X=749320838 Y=4945526585 Z=81904089881 M=6278
A=3216 B=3586 C=8784 X=203354447 Y=8039279859 Z=39900235387 M=9533
A=5995 B=3993 C=6074 X=761621612 Y=6020102811 Z=27921681851 M=4444
A=8123 B=5167 C=6417 X=612020950 Y=8707940173 Z=38411179922 M=1134
A=7117 B=3726 C=9003 X=752966344 Y=1622065662 Z=71273414930 M=4474
A=8378 B=5633 C=6192 X=237699915 Y=3439171086 Z=26591940206 M=7497
A=4355 B=3845 C=7111 X=251455924 Y=9959140746 Z=26319605118 M=1282
